SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
2144,25-07-2020,Health Dept,Spraying,Shankaramata/75,West,Sahaaya Helpline,CLOSED
2145,25-07-2020,Health Dept,Increase in mosquito density,Pattabhiram Nagar/168,South,Nammabengaluru App,CLOSED
2146,25-07-2020,Health Dept,Increase in mosquito density,Deepanjali Nagar/158,South,Sahaaya Helpline,CLOSED
2147,25-07-2020,Health Dept,Air/Noise pollution,Vijay Nagar/123,South,Nammabengaluru App,CLOSED
2148,25-07-2020,Health Dept,Increase in mosquito density,Varthur/149,Mahadevapura,Nammabengaluru App,CLOSED
2149,25-07-2020,Health Dept,Increase in mosquito density,Sanjay Nagar/19,East,Nammabengaluru App,CLOSED
2150,25-07-2020,Health Dept,Unavailability of staff,Giri Nagar/162,South,Sahaaya Helpline,REJECTED
2151,25-07-2020,Health Dept,Increase in mosquito density,Sanjay Nagar/19,East,Nammabengaluru App,CLOSED
2152,25-07-2020,Health Dept,Spraying,Rajarajeshwari Nagar/160,RRNagar,Sahaaya Helpline,CLOSED
2153,25-07-2020,Health Dept,Spraying,Kumaraswamy Layout/181,South,Sahaaya Helpline,CLOSED
2154,25-07-2020,Health Dept,Fogging,HBR Layout/24,East,Nammabengaluru App,CLOSED
2155,26-07-2020,Health Dept,Fogging,Attiguppe/132,South,Nammabengaluru App,CLOSED
2156,26-07-2020,Health Dept,Spraying,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
2157,26-07-2020,Health Dept,Air/Noise pollution,Herohalli/72,RRNagar,Nammabengaluru App,CLOSED
2158,26-07-2020,Health Dept,Air/Noise pollution,Herohalli/72,RRNagar,Nammabengaluru App,CLOSED
2159,26-07-2020,Health Dept,Fogging,Nagarabhavi/128,West,Sahaaya Helpline,CLOSED
2160,26-07-2020,Health Dept,Fogging,Nagavara/23,East,Sahaaya Helpline,CLOSED
2161,26-07-2020,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
2162,26-07-2020,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
2163,26-07-2020,Health Dept,Fogging,Rajaji Nagar/99,West,Sahaaya Helpline,CLOSED
2164,26-07-2020,Health Dept,Increase in mosquito density,Herohalli/72,RRNagar,Nammabengaluru App,CLOSED
2165,27-07-2020,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
2166,27-07-2020,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
2167,27-07-2020,Health Dept,Unhygienic premises in Hotel etc,Gangenahalli/34,East,Nammabengaluru App,CLOSED
2168,27-07-2020,Health Dept,Increase in mosquito density,Ejipura/148,South,Social Network,CLOSED
2169,27-07-2020,Health Dept,Increase in mosquito density,Manorayanapalya/33,East,Sahaaya Helpline,CLOSED
2170,27-07-2020,Health Dept,Increase in mosquito density,Vidyaranyapura/9,Yelahanka,Sahaaya Helpline,CLOSED
2171,27-07-2020,Health Dept,Spraying,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
2172,27-07-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
2173,27-07-2020,Health Dept,Unhygienic premises in Hotel etc,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
2174,27-07-2020,Health Dept,Air/Noise pollution,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
2175,27-07-2020,Health Dept,Air/Noise pollution,Shankaramata/75,West,Nammabengaluru App,CLOSED
2176,27-07-2020,Health Dept,Spraying,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
2177,27-07-2020,Health Dept,Spraying,Herohalli/72,RRNagar,Sahaaya Helpline,CLOSED
2178,28-07-2020,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
2179,28-07-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2180,28-07-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2181,28-07-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2182,28-07-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2183,28-07-2020,Health Dept,Spraying,Devasandra/55,Mahadevapura,Nammabengaluru App,CLOSED
2184,28-07-2020,Health Dept,Unhygienic premises in Hotel etc,Jayamahal/63,East,Sahaaya Helpline,CLOSED
2185,28-07-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2186,29-07-2020,Health Dept,Increase in mosquito density,Mathikere/36,West,Sahaaya Helpline,CLOSED
2187,29-07-2020,Health Dept,Spraying,Bagalagunte/14,Dasarahalli,Nammabengaluru App,RESOLVED
2188,29-07-2020,Health Dept,Air/Noise pollution,K.R.Puram/52,Mahadevapura,Nammabengaluru App,REJECTED
2189,29-07-2020,Health Dept,Spraying,Sri Nagar/156,South,Social Network,CLOSED
2190,29-07-2020,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2191,29-07-2020,Health Dept,Birth & Death Registration,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
2192,30-07-2020,Health Dept,Increase in mosquito density,HAL Airport/87,Mahadevapura,Nammabengaluru App,CLOSED
2193,30-07-2020,Health Dept,Increase in mosquito density,Kadugondanahalli/30,East,Sahaaya Helpline,CLOSED
2194,30-07-2020,Health Dept,Increase in mosquito density,Maruthi Mandira Ward/126,West,Nammabengaluru App,CLOSED
2195,30-07-2020,Health Dept,Birth & Death Registration,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
2196,30-07-2020,Health Dept,Unhygienic premises in Hotel etc,Ulsoor/90,East,Nammabengaluru App,REJECTED
2197,30-07-2020,Health Dept,Increase in mosquito density,Basavanagudi/154,South,Sahaaya Helpline,CLOSED
2198,30-07-2020,Health Dept,Fogging,Sri Rammandira/108,West,Sahaaya Helpline,CLOSED
2199,31-07-2020,Health Dept,Fogging,Horamavu/25,Mahadevapura,Sahaaya Helpline,CLOSED
2200,31-07-2020,Health Dept,Fogging,Shettyhalli/12,Dasarahalli,Sahaaya Helpline,RESOLVED
2201,31-07-2020,Health Dept,Spraying,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
2202,31-07-2020,Health Dept,Air/Noise pollution,Yeshwanthpur/37,RRNagar,Nammabengaluru App,CLOSED
2203,31-07-2020,Health Dept,Increase in mosquito density,Mahalakshmipuram/68,West,Nammabengaluru App,CLOSED
2204,01-08-2020,Health Dept,Delay in issue of Trade licence,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
2205,01-08-2020,Health Dept,Increase in mosquito density,Varthur/149,Mahadevapura,Nammabengaluru App,CLOSED
2206,01-08-2020,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
2207,01-08-2020,Health Dept,Increase in mosquito density,Vasanth Nagar/93,East,Sahaaya Helpline,CLOSED
2208,01-08-2020,Health Dept,Increase in mosquito density,Radhakrishna Temple/18,East,Nammabengaluru App,CLOSED
2209,02-08-2020,Health Dept,Fogging,Horamavu/25,Mahadevapura,Sahaaya Helpline,CLOSED
2210,02-08-2020,Health Dept,Increase in mosquito density,Jakkasandra/173,South,Nammabengaluru App,CLOSED
2211,02-08-2020,Health Dept,Spraying,Mangammanapalya/190,Bommanahalli,Nammabengaluru App,CLOSED
2212,02-08-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
2213,02-08-2020,Health Dept,Increase in mosquito density,Benniganahalli/50,East,Nammabengaluru App,CLOSED
2214,03-08-2020,Health Dept,Increase in mosquito density,A.Narayanapura/56,Mahadevapura,Nammabengaluru App,CLOSED
2215,03-08-2020,Health Dept,Birth & Death Registration,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,REJECTED
2216,03-08-2020,Health Dept,Air/Noise pollution,Byatarayanapura/7,Yelahanka,Nammabengaluru App,REJECTED
2217,03-08-2020,Health Dept,Spraying,Jayachamarajendra Nagar/46,East,Sahaaya Helpline,CLOSED
2218,03-08-2020,Health Dept,Delay in issue of Trade licence,Sampangiram Nagar/110,East,Nammabengaluru App,CLOSED
2219,03-08-2020,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
2220,03-08-2020,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
2221,04-08-2020,Health Dept,Increase in mosquito density,Sampangiram Nagar/110,East,Nammabengaluru App,CLOSED
2222,04-08-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
2223,04-08-2020,Health Dept,Increase in mosquito density,HBR Layout/24,East,Nammabengaluru App,CLOSED
2224,04-08-2020,Health Dept,Spraying,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
2225,04-08-2020,Health Dept,Increase in mosquito density,HBR Layout/24,East,Nammabengaluru App,CLOSED
2226,04-08-2020,Health Dept,Increase in mosquito density,HBR Layout/24,East,Nammabengaluru App,CLOSED
2227,04-08-2020,Health Dept,Spraying,Yadiyuru/167,South,Sahaaya Helpline,CLOSED
2228,04-08-2020,Health Dept,Air/Noise pollution,Thanisandra/6,Yelahanka,Nammabengaluru App,REJECTED
2229,04-08-2020,Health Dept,Spraying,Vishwanathnagenahalli/22,East,Whatsapp,CLOSED
2230,04-08-2020,Health Dept,Spraying,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2231,05-08-2020,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,REJECTED
2232,05-08-2020,Health Dept,Spraying,Katriguppe/163,South,Sahaaya Helpline,CLOSED
2233,05-08-2020,Health Dept,Unhygienic premises in Hotel etc,Prakash Nagar/98,West,Nammabengaluru App,CLOSED
2234,05-08-2020,Health Dept,Unhygienic premises in Hotel etc,Prakash Nagar/98,West,Nammabengaluru App,CLOSED
2235,05-08-2020,Health Dept,Birth & Death Registration,Kempegowda Ward/1,Yelahanka,Nammabengaluru App,CLOSED
2236,05-08-2020,Health Dept,Unhygienic premises in Hotel etc,Thanisandra/6,Yelahanka,Nammabengaluru App,REJECTED
2237,06-08-2020,Health Dept,Spraying,Kottigepalya/73,RRNagar,Sahaaya Helpline,CLOSED
2238,06-08-2020,Health Dept,Spraying,Garudacharpalya/82,Mahadevapura,Whatsapp,CLOSED
2239,06-08-2020,Health Dept,Birth & Death Registration,Hebbal/21,East,Nammabengaluru App,REJECTED
2240,06-08-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
2241,06-08-2020,Health Dept,Spraying,Bapuji Nagar/134,South,Sahaaya Helpline,CLOSED
2242,06-08-2020,Health Dept,Fogging,Hampi Nagar/133,South,Sahaaya Helpline,REJECTED
2243,06-08-2020,Health Dept,Spraying,Katriguppe/163,South,Sahaaya Helpline,CLOSED
2244,07-08-2020,Health Dept,Fogging,Bapuji Nagar/134,South,Sahaaya Helpline,CLOSED
2245,07-08-2020,Health Dept,Spraying,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
2246,07-08-2020,Health Dept,Air/Noise pollution,Jalahalli/16,RRNagar,Nammabengaluru App,REJECTED
2247,07-08-2020,Health Dept,Unhygienic premises in Hotel etc,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,REJECTED
2248,07-08-2020,Health Dept,Spraying,Radhakrishna Temple/18,East,Sahaaya Helpline,CLOSED
2249,07-08-2020,Health Dept,Unhygienic premises in Hotel etc,Gandhi Nagar/94,West,Sahaaya Helpline,CLOSED
2250,07-08-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
2251,07-08-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
2252,07-08-2020,Health Dept,Fogging,Jeevanbhima Nagar/88,East,Sahaaya Helpline,CLOSED
2253,07-08-2020,Health Dept,Spraying,Hampi Nagar/133,South,Sahaaya Helpline,CLOSED
2254,07-08-2020,Health Dept,Increase in mosquito density,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,CLOSED
2255,07-08-2020,Health Dept,Non availability of drugs,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
2256,08-08-2020,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
2257,08-08-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2258,08-08-2020,Health Dept,Spraying,Manorayanapalya/33,East,Sahaaya Helpline,CLOSED
2259,08-08-2020,Health Dept,Increase in mosquito density,Kushal Nagar/31,East,Nammabengaluru App,CLOSED
2260,08-08-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
2261,08-08-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2262,08-08-2020,Health Dept,Birth & Death Registration,K.R.Puram/52,Mahadevapura,Nammabengaluru App,REJECTED
2263,08-08-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2264,08-08-2020,Health Dept,Spraying,Marathalli/86,Mahadevapura,Nammabengaluru App,CLOSED
2265,08-08-2020,Health Dept,Unhygienic premises in Hotel etc,Bilekahalli/188,Bommanahalli,Nammabengaluru App,REJECTED
2266,09-08-2020,Health Dept,Unavailability of staff,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
2267,09-08-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2268,10-08-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
2269,10-08-2020,Health Dept,Unhygienic premises in Hotel etc,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
2270,10-08-2020,Health Dept,Fogging,Kavalbyrasandra/32,East,Sahaaya Helpline,CLOSED
2271,10-08-2020,Health Dept,Increase in mosquito density,Anjanapur/196,Bommanahalli,Nammabengaluru App,CLOSED
2272,10-08-2020,Health Dept,Air/Noise pollution,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
2273,10-08-2020,Health Dept,Air/Noise pollution,Bharathi Nagar/91,East,Sahaaya Helpline,CLOSED
2274,10-08-2020,Health Dept,Air/Noise pollution,Bharathi Nagar/91,East,Sahaaya Helpline,CLOSED
2275,10-08-2020,Health Dept,Fogging,Sampangiram Nagar/110,East,Nammabengaluru App,CLOSED
2276,10-08-2020,Health Dept,Air/Noise pollution,K.R.Puram/52,Mahadevapura,Nammabengaluru App,REJECTED
2277,10-08-2020,Health Dept,Delay in issue of Trade licence,Madiwala/172,South,Nammabengaluru App,CLOSED
2278,10-08-2020,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
2279,11-08-2020,Health Dept,Spraying,Hombegowda Nagar/145,South,Sahaaya Helpline,RESOLVED
2280,11-08-2020,Health Dept,Unhygienic premises in Hotel etc,Rajaji Nagar/99,West,Sahaaya Helpline,CLOSED
2281,11-08-2020,Health Dept,Spraying,Bommanahalli/175,Bommanahalli,Sahaaya Helpline,CLOSED
2282,11-08-2020,Health Dept,Fogging,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
2283,11-08-2020,Health Dept,Air/Noise pollution,Subhash Nagar/95,West,Nammabengaluru App,REJECTED
2284,12-08-2020,Health Dept,Increase in mosquito density,Hombegowda Nagar/145,South,Nammabengaluru App,RESOLVED
2285,12-08-2020,Health Dept,Delay in issue of Trade licence,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,CLOSED
2286,12-08-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
2287,12-08-2020,Health Dept,Fogging,Arakere/193,Bommanahalli,Sahaaya Helpline,CLOSED
2288,12-08-2020,Health Dept,Increase in mosquito density,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
2289,12-08-2020,Health Dept,Increase in mosquito density,Jayachamarajendra Nagar/46,East,Sahaaya Helpline,CLOSED
2290,12-08-2020,Health Dept,Air/Noise pollution,Vasanthapura/197,Bommanahalli,Sahaaya Helpline,REJECTED
2291,12-08-2020,Health Dept,Unhygienic premises in Hotel etc,Vannarpet/115,East,Nammabengaluru App,CLOSED
2292,12-08-2020,Health Dept,Delay in issue of Trade licence,Domlur/112,East,Nammabengaluru App,CLOSED
2293,12-08-2020,Health Dept,Spraying,Horamavu/25,Mahadevapura,Whatsapp,CLOSED
2294,12-08-2020,Health Dept,Air/Noise pollution,Shankaramata/75,West,Nammabengaluru App,CLOSED
2295,12-08-2020,Health Dept,Air/Noise pollution,Govindraja Nagara/104,West,Nammabengaluru App,CLOSED
2296,12-08-2020,Health Dept,Spraying,HBR Layout/24,East,Whatsapp,CLOSED
2297,12-08-2020,Health Dept,Unhygienic premises in Hotel etc,Vannarpet/115,East,Nammabengaluru App,CLOSED
2298,12-08-2020,Health Dept,Spraying,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2299,12-08-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2300,13-08-2020,Health Dept,Increase in mosquito density,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
2301,13-08-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2302,13-08-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2303,13-08-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
2304,13-08-2020,Health Dept,Unhygienic premises in Hotel etc,Sudduguntepalya/152,South,Nammabengaluru App,CLOSED
2305,13-08-2020,Health Dept,Fogging,Sudam Nagar/118,South,Sahaaya Helpline,RESOLVED
2306,14-08-2020,Health Dept,Spraying,Hebbal/21,East,Nammabengaluru App,CLOSED
2307,14-08-2020,Health Dept,Increase in mosquito density,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,CLOSED
2308,14-08-2020,Health Dept,Increase in mosquito density,Jayachamarajendra Nagar/46,East,Nammabengaluru App,CLOSED
2309,14-08-2020,Health Dept,Increase in mosquito density,Ullalu/130,RRNagar,Sahaaya Helpline,CLOSED
2310,14-08-2020,Health Dept,Air/Noise pollution,Hebbal/21,East,Nammabengaluru App,CLOSED
2311,14-08-2020,Health Dept,Delay in issue of Trade licence,Madiwala/172,South,Sahaaya Helpline,REJECTED
2312,14-08-2020,Health Dept,Spraying,Ramamurthy Nagar/26,Mahadevapura,Sahaaya Helpline,CLOSED
2313,14-08-2020,Health Dept,Air/Noise pollution,Kodigehalli/8,Yelahanka,Nammabengaluru App,CLOSED
2314,14-08-2020,Health Dept,Air/Noise pollution,Kodigehalli/8,Yelahanka,Nammabengaluru App,CLOSED
2315,14-08-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2316,14-08-2020,Health Dept,Air/Noise pollution,Mallasandra/13,Dasarahalli,Nammabengaluru App,RESOLVED
2317,14-08-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2318,14-08-2020,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
2319,15-08-2020,Health Dept,Spraying,Ramamurthy Nagar/26,Mahadevapura,Sahaaya Helpline,CLOSED
2320,15-08-2020,Health Dept,Spraying,Hosahalli/124,South,Sahaaya Helpline,CLOSED
2321,15-08-2020,Health Dept,Spraying,Sudam Nagar/118,South,Sahaaya Helpline,RESOLVED
2322,15-08-2020,Health Dept,Birth & Death Registration,Jalahalli/16,RRNagar,Nammabengaluru App,REJECTED
2323,15-08-2020,Health Dept,Air/Noise pollution,Dharmarayaswamy Temple Ward/119,South,Sahaaya Helpline,REJECTED
2324,16-08-2020,Health Dept,Air/Noise pollution,Kumaraswamy Layout/181,South,Sahaaya Helpline,CLOSED
2325,16-08-2020,Health Dept,Air/Noise pollution,Kumaraswamy Layout/181,South,Sahaaya Helpline,CLOSED
2326,16-08-2020,Health Dept,Non availability of drugs,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
2327,16-08-2020,Health Dept,Spraying,Bellandur/150,Mahadevapura,Sahaaya Helpline,CLOSED
2328,17-08-2020,Health Dept,Delay in issue of Trade licence,Vijay Nagar/123,South,Nammabengaluru App,CLOSED
2329,17-08-2020,Health Dept,Increase in mosquito density,Jakkasandra/173,South,Nammabengaluru App,CLOSED
2330,17-08-2020,Health Dept,Unhygienic premises in Hotel etc,Basaveshwara Nagar/100,West,Sahaaya Helpline,CLOSED
2331,17-08-2020,Health Dept,Air/Noise pollution,Vijay Nagar/123,South,Nammabengaluru App,CLOSED
2332,18-08-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
2333,18-08-2020,Health Dept,Air/Noise pollution,Chikkalasandra/183,South,Nammabengaluru App,CLOSED
2334,18-08-2020,Health Dept,Unhygienic premises in Hotel etc,J.P.Park/17,RRNagar,Sahaaya Helpline,CLOSED
2335,18-08-2020,Health Dept,Increase in mosquito density,HBR Layout/24,East,Sahaaya Helpline,CLOSED
2336,18-08-2020,Health Dept,Spraying,Hoysala Nagar/80,East,Sahaaya Helpline,CLOSED
2337,18-08-2020,Health Dept,Non availability of drugs,Prakash Nagar/98,West,Nammabengaluru App,CLOSED
2338,18-08-2020,Health Dept,Air/Noise pollution,Padarayanapura/135,West,Sahaaya Helpline,CLOSED
2339,19-08-2020,Health Dept,Air/Noise pollution,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
2340,19-08-2020,Health Dept,Spraying,Banaswadi/27,East,Sahaaya Helpline,REJECTED
2341,19-08-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
2342,19-08-2020,Health Dept,Birth & Death Registration,Vijay Nagar/123,South,Nammabengaluru App,CLOSED
2343,19-08-2020,Health Dept,Increase in mosquito density,Nagavara/23,East,Sahaaya Helpline,CLOSED
2344,20-08-2020,Health Dept,Air/Noise pollution,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
2345,20-08-2020,Health Dept,Increase in mosquito density,Konanakunte/195,Bommanahalli,Sahaaya Helpline,CLOSED
2346,20-08-2020,Health Dept,Unhygienic premises in Hotel etc,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
2347,20-08-2020,Health Dept,Air/Noise pollution,Uttarahalli/184,Bommanahalli,Sahaaya Helpline,CLOSED
2348,21-08-2020,Health Dept,Fogging,Doddabommasandra/10,Yelahanka,Nammabengaluru App,CLOSED
2349,21-08-2020,Health Dept,Birth & Death Registration,Konanakunte/195,Bommanahalli,Nammabengaluru App,REJECTED
2350,22-08-2020,Health Dept,Increase in mosquito density,Vijanapura/51,Mahadevapura,Nammabengaluru App,CLOSED
2351,22-08-2020,Health Dept,Increase in mosquito density,Vishwanathnagenahalli/22,East,Nammabengaluru App,CLOSED
2352,22-08-2020,Health Dept,Air/Noise pollution,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
2353,22-08-2020,Health Dept,Spraying,Arakere/193,Bommanahalli,Sahaaya Helpline,CLOSED
2354,22-08-2020,Health Dept,Air/Noise pollution,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2355,22-08-2020,Health Dept,Delay in issue of Trade licence,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
2356,22-08-2020,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2357,22-08-2020,Health Dept,Increase in mosquito density,Chokkasandra/39,Dasarahalli,Nammabengaluru App,RESOLVED
2358,22-08-2020,Health Dept,Increase in mosquito density,Banaswadi/27,East,Nammabengaluru App,REJECTED
2359,23-08-2020,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,REJECTED
2360,23-08-2020,Health Dept,Increase in mosquito density,Yelachenahalli/185,Bommanahalli,Nammabengaluru App,CLOSED
2361,23-08-2020,Health Dept,Unhygienic premises in Hotel etc,Gottigere/194,Bommanahalli,Sahaaya Helpline,CLOSED
2362,23-08-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2363,23-08-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2364,23-08-2020,Health Dept,Air/Noise pollution,Rajagopala Nagar/70,Dasarahalli,Sahaaya Helpline,RESOLVED
2365,23-08-2020,Health Dept,Birth & Death Registration,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
2366,24-08-2020,Health Dept,Spraying,Kacharakanahalli/29,East,Sahaaya Helpline,CLOSED
2367,24-08-2020,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
2368,24-08-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2369,25-08-2020,Health Dept,Fogging,Chikkalasandra/183,South,Sahaaya Helpline,CLOSED
2370,25-08-2020,Health Dept,Fogging,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
2371,25-08-2020,Health Dept,Air/Noise pollution,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2372,25-08-2020,Health Dept,Unhygienic premises in Hotel etc,Basavanagudi/154,South,Nammabengaluru App,CLOSED
2373,25-08-2020,Health Dept,Increase in mosquito density,Jeevanbhima Nagar/88,East,Sahaaya Helpline,CLOSED
2374,25-08-2020,Health Dept,Spraying,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
2375,25-08-2020,Health Dept,Spraying,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
2376,25-08-2020,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Sahaaya Helpline,CLOSED
2377,26-08-2020,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
2378,26-08-2020,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Sahaaya Helpline,CLOSED
2379,26-08-2020,Health Dept,Increase in mosquito density,Adugodi/147,South,Sahaaya Helpline,REJECTED
2380,26-08-2020,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Nammabengaluru App,REJECTED
2381,27-08-2020,Health Dept,Delay in issue of Trade licence,Binnipet/121,West,Nammabengaluru App,CLOSED
2382,27-08-2020,Health Dept,Spraying,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2383,27-08-2020,Health Dept,Air/Noise pollution,Banaswadi/27,East,Nammabengaluru App,REJECTED
2384,27-08-2020,Health Dept,Increase in mosquito density,J.P.Nagar/177,South,Nammabengaluru App,CLOSED
2385,27-08-2020,Health Dept,Unavailability of staff,Gandhi Nagar/94,West,Nammabengaluru App,CLOSED
2386,27-08-2020,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
2387,27-08-2020,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Sahaaya Helpline,CLOSED
2388,27-08-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
